id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11776,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19768578.0,19768578.0,False,,1,,,,2024-10-16T21:02:00.000Z,67626.86572889997,40117844021.806656,-17.7244,-0.12399488,1.79244031,11.96167628,17.36948676,13.80859215,6.01565941,1336886970057.286,57.4863,1420164180306.9,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
1027,Ethereum,ETH,ethereum,9424,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120386200.1520511,120386200.1520511,True,,2,,,,2024-10-16T21:02:00.000Z,2619.022124118657,17615837374.070095,-20.7002,0.13582149,1.92411804,11.23656718,15.29312816,0.10257131,-23.26993409,315294121636.79865,13.5676,315294121636.8,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
825,Tether USDt,USDT,tether,100426,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119972176281.55081,121362937383.07553,True,,3,,,,2024-10-16T21:02:00.000Z,0.9997497108906279,65550144110.65049,-22.2458,-0.02309237,-0.00429639,0.0388154,-0.03345727,-0.04451834,-0.01684085,119942148552.39987,5.1575,121332561561.57,,2024-10-16T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-16 21:04:21.788502+00:00
1839,BNB,BNB,bnb,2259,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931736.4319058,145931736.4319058,False,,4,,,,2024-10-16T21:02:00.000Z,602.5505755917126,1927930826.6093597,-5.0749,0.20702036,2.44239755,6.24080046,13.83878952,10.71863629,5.67448581,87931251784.14293,3.7838,87931251784.14,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
5426,Solana,SOL,solana,767,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,469856649.4939368,586718035.4489822,True,,5,,,,2024-10-16T21:02:00.000Z,154.45792128048697,2478307649.261911,-27.9434,0.007973,1.13149914,11.25933085,18.70700202,9.48097953,-2.19835901,72573081380.64784,3.1206,90623248133.22,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
3408,USDC,USDC,usd-coin,22496,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34788146141.45003,34788146141.45003,False,,6,,,,2024-10-16T21:02:00.000Z,0.9998559392641114,6928597424.616426,-16.4702,-0.02010558,0.00245564,-0.02172239,-0.02809736,-0.01618045,-0.02452823,34783134535.51669,1.4968,34783134535.52,,2024-10-16T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-16 21:04:21.788502+00:00
52,XRP,XRP,xrp,1404,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56645058199.0,99987139355.0,False,,7,,,,2024-10-16T21:02:00.000Z,0.5503402282816283,1072324038.1805178,-17.8816,-0.42061518,2.37112312,5.29946917,-5.32187108,-2.87183785,-2.87496005,31174054260.263783,1.3405,55034022828.16,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
74,Dogecoin,DOGE,dogecoin,1081,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146394746383.7052,146394746383.7052,True,,8,,,,2024-10-16T21:02:00.000Z,0.1283857246109309,2249136338.3660526,67.5167,0.77512354,13.77183534,20.67947751,30.30099758,24.76823271,8.13701028,18794995593.70545,0.8082,18794995593.71,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
1958,TRON,TRX,tron,1050,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86531315527.72452,86531317990.82547,True,,9,71659659264.0,11454096281.072206,,2024-10-16T21:02:00.000Z,0.15984022808250298,326141284.3410833,-14.5365,0.04314491,0.91470292,-0.20422263,7.62638063,18.0855738,18.96534145,13831185210.230518,0.5947,13831185603.93,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
11419,Toncoin,TON,toncoin,578,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539172714.572554,5113299256.219649,True,,10,3414166606.0,17883053734.192055,,2024-10-16T21:02:00.000Z,5.2378972082864,174698026.80709177,-32.0852,0.08783644,1.81760652,4.51798996,-3.44616517,-19.00779887,-27.59693035,13299925673.01658,0.5723,26782935899.29,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
2010,Cardano,ADA,cardano,1269,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34967190801.543884,44995142608.92816,False,,11,,,,2024-10-16T21:02:00.000Z,0.354813932453445,274683507.0212301,-31.2781,0.35204006,0.74649069,6.04606487,8.30971103,6.12014942,-16.00360481,12406846475.145716,0.5335,15966626960.41,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
5805,Avalanche,AVAX,avalanche,787,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,406623381.1209331,446626481.1209331,False,,12,,,,2024-10-16T21:02:00.000Z,27.921441843615508,356966782.39666355,-32.1224,1.06910701,0.465817,8.36301805,19.37788371,35.8156673,2.90117783,11353511088.222439,0.4883,19984736232.2,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
5994,Shiba Inu,SHIB,shiba-inu,884,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589267122313187.9,589518343648192.1,False,,13,,,,2024-10-16T21:02:00.000Z,1.876280329399771e-05,561703743.7212296,-7.0207,-0.07530376,5.61332219,11.7521393,43.87203741,40.87278495,8.83533484,11056303103.582434,0.4758,11061016720.07,,2024-10-16T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-10-16 21:04:21.788502+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,934,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19775156.25,19775156.25,False,,14,,,,2024-10-16T21:02:00.000Z,364.8864894897479,449050182.99602467,-29.9434,-0.71231783,4.11209686,14.52801294,17.8672946,6.25187025,-4.98205859,7215687343.173747,0.3104,7662616279.28,,2024-10-16T21:02:00.000Z,,,,,,2024-10-16 21:04:21.788502+00:00
1975,Chainlink,LINK,chainlink,1855,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,15,,,,2024-10-16T21:02:00.000Z,11.26172379776534,235689059.52958223,-37.5681,0.94670243,0.99927546,8.02192715,7.69341589,11.29569415,-17.3614312,7059411229.876648,0.3036,11261723797.77,,2024-10-16T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-10-16 21:04:21.788502+00:00
1,Bitcoin,BTC,bitcoin,11776,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19768578.0,19768578.0,False,,1,,,,2024-10-16T21:03:00.000Z,67648.20292353355,40017150548.23513,-17.9283,-0.14915354,1.83063663,11.84330901,17.1645907,13.86108857,6.07637578,1337308776053.701,57.5044,1420612261394.2,,2024-10-16T21:03:00.000Z,,,,,,2024-10-16 21:05:22.042398+00:00
1027,Ethereum,ETH,ethereum,9424,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120386200.1520511,120386200.1520511,True,,2,,,,2024-10-16T21:03:00.000Z,2619.945557864574,17580757464.219006,-20.8557,0.1276393,1.95962915,11.00182835,15.06015354,0.15756081,-23.22757188,315405290316.56177,13.5724,315405290316.56,,2024-10-16T21:03:00.000Z,,,,,,2024-10-16 21:05:22.042398+00:00
